Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,10.16,4.92,10.64,4.70
2,9.75,5.13,10.78,4.64
3,10.94,4.57,11.90,4.20
4,11.24,4.45,14.16,3.53
5,11.82,4.23,19.61,2.55
6,12.17,4.11,10.92,4.58
7,11.68,4.28,12.08,4.14
8,13.55,3.69,15.97,3.13
9,15.62,3.20,13.97,3.58
10,9.54,5.24,9.54,5.24

