Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,10.37,4.82,9.58,5.22
2,9.94,05.03,9.77,5.12
3,11.34,4.41,10.00,5.00
4,11.36,4.40,13.70,3.65
5,11.79,4.40,23.92,2.90
6,13.37,3.74,10.18,4.91
7,14.53,3.43,11.47,4.36
8,12.03,3.84,15.38,3.25
9,15.58,3.21,13.91,3.70
10,9.92,05.04,09.03,5.54

