Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,6.71,7.45,29.41,1.70
2,6.49,7.71,31.45,1.59
3,7.34,6.81,26.04,1.92
4,7.69,6.50,17.54,2.85
5,7.95,6.29,25.51,1.96
6,7.47,6.69,25.91,1.93
7,7.49,6.68,24.51,02.04
8,7.58,6.60,42.37,1.18
9,7.99,6.26,96.15,0.52
10,6.45,7.75,26.18,1.91

