Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,8.94,5.59,15.43,3.24
2,8.56,5.84,11.42,4.38
3,9.62,5.20,12.14,4.12
4,9.38,5.33,12.85,3.89
5,9.49,5.27,22.83,2.19
6,10.27,4.87,25.38,1.97
7,9.96,05.02,28.57,1.75
8,10.64,4.70,16.13,3.1
9,12.59,3.97,17.42,2.87
10,8.43,5.93,21.46,2.33

