Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,5.91,8.46,5.76,8.68
2,5.73,8.73,6.00,8.34
3,6.42,7.79,6.37,7.85
4,6.76,7.40,07.09,07.05
5,7.11,07.03,8.80,5.68
6,07.01,7.13,06.02,8.30
7,6.60,7.58,6.27,7.97
8,6.72,7.44,7.60,6.58
9,7.32,6.83,6.74,7.42
10,5.82,8.60,5.80,8.62

