Data Point,Write Throughput,Write Time,Read Throughput,Read Time
1,7.90,6.33,6.83,7.32
2,7.79,6.42,6.98,7.16
3,8.25,06.06,7.16,6.98
4,8.94,5.59,8.17,6.12
5,9.51,5.26,10.00,5.00
6,9.19,5.44,6.72,7.44
7,09.09,5.50,07.01,7.13
8,10.14,4.93,9.78,5.11
9,10.73,4.66,08.05,6.21
10,7.47,6.69,6.37,7.85

